,id,type of property,subtype of property,locality,latitude,longitude,street,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building,Unnamed: 0,Gemeente,Province,Population,Area(km2),Density,kitchen,price per sqr
0,10833667,HOUSE,HOUSE,Seraing,50.5982237,5.5187843,Place Merlot 6,4100,144000,residential_sale,2,14,105.0,semi_equipped,False,False,True,0.0,True,25.0,105.0,105.0,2.0,False,good,297,Seraing,Liège,1106992,3857.0,288,Semi equipped,1371.428571428571
1,10833916,HOUSE,HOUSE,Herstal,50.6586095,5.6238621,Rue de la Wallonie 2A,4040,164000,residential_sale,4,25,167.0,installed,False,False,True,80.0,False,0.0,167.0,90.0,3.0,False,to_be_done_up,295,Herstal,Liège,1106992,3857.0,288,,982.0359281437126
2,10833652,HOUSE,MIXED_USE_BUILDING,Aalst,50.9082544,4.0258775,Hoogstraat 20,9300,295000,residential_sale,3,30,249.0,installed,False,False,True,21.0,False,0.0,249.0,180.0,2.0,False,good,669,Aalst,Oost-Vlaanderen,1515064,3007.0,504,,1184.7389558232933
3,10833480,HOUSE,TOWN_HOUSE,Dilbeek,50.8362888,4.2557813,Astridlaan 1,1700,590000,residential_sale,4,52,290.0,hyper_equipped,False,False,True,0.0,False,0.0,290.0,517.0,3.0,True,good,87,Dilbeek,Vlaams-Brabant,1146175,2118.0,542,Hyper equipped,2034.4827586206895
4,10831508,HOUSE,HOUSE,Antwerp,51.2251216,4.4058824,"Mechelsesteenweg,157",2000,439900,residential_sale,2,45,160.0,installed,False,False,True,13.0,False,0.0,160.0,48.0,2.0,False,as_new,111,Antwerpen,Antwerpen,1857986,2876.0,647,,2749.375
5,10831292,HOUSE,HOUSE,Lede,50.9600883,3.8896037,Hoogstraat 20,9340,449000,residential_sale,2,27,145.0,hyper_equipped,False,False,True,0.0,False,0.0,145.0,527.0,3.0,False,as_new,671,Lede,Oost-Vlaanderen,1515064,3007.0,504,Hyper equipped,3096.551724137931
6,10831406,HOUSE,HOUSE,Lievegem,51.1136326,3.5629715,Sint-Denijslaan 1,9930,495000,residential_sale,4,48,194.0,usa_hyper_equipped,False,False,True,66.0,True,630.0,194.0,975.0,3.0,False,good,698,Lievegem,Oost-Vlaanderen,1515064,3007.0,504,,2551.546391752577
7,10831251,HOUSE,VILLA,Holsbeek Kortrijk-Dutsel,50.9240926,4.807283,Tiensesteenweg 93,3220,579000,residential_sale,4,36,225.0,installed,False,False,True,18.0,False,0.0,225.0,1103.0,4.0,False,good,227,Holsbeek,Vlaams-Brabant,1146175,2118.0,542,,2573.333333333333
8,10832715,HOUSE,HOUSE,Etterbeek,50.8359364,4.4025428,Avenue de Tervuren 113,1040,1150000,residential_sale,6,39,300.0,hyper_equipped,False,False,True,40.0,True,150.0,300.0,260.0,2.0,False,as_new,5,Etterbeek,Brussel,1208542,162.4,7442,Hyper equipped,3833.3333333333335
9,10828460,HOUSE,HOUSE,Aalst,50.9428493,4.0311979,Hoogstraat 20,9300,159000,residential_sale,2,27,81.0,usa_installed,False,False,True,0.0,True,70.0,81.0,120.0,2.0,False,to_be_done_up,669,Aalst,Oost-Vlaanderen,1515064,3007.0,504,Equipped,1962.962962962963
10,10828802,HOUSE,HOUSE,Mechelen,51.0199386,4.4712784,Hoogstraat 5,2800,295000,residential_sale,2,19,172.0,installed,False,False,True,0.0,False,0.0,172.0,189.0,2.0,False,good,190,Mechelen,Antwerpen,1857986,2876.0,647,,1715.1162790697674
11,10828745,HOUSE,HOUSE,Wezembeek-Oppem,50.8469893,4.5052158,"Wezembeeklaan, 120",1970,329000,residential_sale,3,20,80.0,installed,False,False,True,28.0,True,60.0,80.0,170.0,3.0,False,to_be_done_up,109,Wezembeek-Oppem,Vlaams-Brabant,1146175,2118.0,542,,4112.5
12,10829358,HOUSE,HOUSE,Uccle,50.8116637,4.3443292,Avenue Baron Albert d'Huart 130,1180,695000,residential_sale,4,20,185.0,usa_installed,False,False,True,0.0,True,240.0,185.0,308.0,2.0,False,to_renovate,25,Uccle,Brussel,1208542,162.4,7442,Equipped,3756.7567567567567
13,10828236,HOUSE,HOUSE,Ixelles,50.8114646,4.3885928,Avenue Louise 589,1050,830000,residential_sale,4,30,282.0,installed,False,False,False,0.0,True,80.0,282.0,163.0,2.0,False,to_be_done_up,6,Elsene,Brussel,1208542,162.4,7442,,2943.2624113475176
14,10826704,HOUSE,HOUSE,Liège,50.6143679,5.5882618,Avenue des Ardennes 1/02,4031,249000,residential_sale,1,19,95.0,installed,False,True,False,0.0,True,93.0,95.0,149.0,2.0,False,just_renovated,1250,Liège,Liège,1106992,3857.0,288,,2621.0526315789475
15,10825503,HOUSE,HOUSE,Bertem,50.8646939,4.6339421,Veemarkt 14,3060,298000,residential_sale,4,24,112.0,semi_equipped,False,False,True,24.0,True,272.0,112.0,450.0,4.0,False,to_be_done_up,215,Bertem,Vlaams-Brabant,1146175,2118.0,542,Semi equipped,2660.714285714286
16,10826180,HOUSE,APARTMENT_BLOCK,Malmedy,50.4236697,6.0299876,Rue Simon 46/2,4960,299000,residential_sale,2,0,167.0,semi_equipped,False,False,False,0.0,False,0.0,167.0,95.0,2.0,False,good,391,Malmedy,Liège,1106992,3857.0,288,Semi equipped,1790.4191616766468
17,10827696,HOUSE,HOUSE,Wezembeek-Oppem,50.8469893,4.5052158,Parvis Sainte-Alix 37,1970,329000,residential_sale,3,20,80.0,installed,False,False,True,14.0,True,60.0,80.0,170.0,3.0,False,to_be_done_up,109,Wezembeek-Oppem,Vlaams-Brabant,1146175,2118.0,542,,4112.5
18,10825693,HOUSE,HOUSE,Roosdaal,50.8325115,4.0840258,Burchtstraat 12,1760,360000,residential_sale,3,20,301.0,semi_equipped,False,False,True,0.0,False,0.0,301.0,545.0,3.0,False,good,93,Roosdaal,Vlaams-Brabant,1146175,2118.0,542,Semi equipped,1196.0132890365448
